cat_code,country,county,f_class,f_code,gid,lat,lon,name,state
US.AR.035,US,35,A,ADM2,4107079,35.20794,-90.30886,Crittenden County,AR
US.AR.037,US,37,A,ADM2,4107139,35.29573,-90.77123,Cross County,AR
US.AR.039,US,39,A,ADM2,4107572,33.96983,-92.65444000000001,Dallas County,AR
US.AR.133,US,133,P,PPLA2,4107802,34.037890000000004,-94.34132,De Queen,AR
US.AR.041,US,41,A,ADM2,4108100,33.83333,-91.25395,Desha County,AR
US.AR.043,US,43,A,ADM2,4108996,33.58945,-91.72001999999999,Drew County,AR
US.AR.139,US,139,P,PPLA2,4109785,33.20763,-92.66627,El Dorado,AR
US.AR.045,US,45,A,ADM2,4110465,35.14698,-92.33204,Faulkner County,AR
US.AR.143,US,143,P,PPLA2,4110486,36.06258,-94.15743,Fayetteville,AR
US.AR.039,US,39,P,PPLA2,4111319,33.81372,-92.41293,Fordyce,AR
US.AR.123,US,123,P,PPLA2,4111382,35.00815,-90.78983000000001,Forrest City,AR
US.AR.047,US,47,A,ADM2,4111593,35.51235,-93.89062,Franklin County,AR
US.AR.049,US,49,A,ADM2,4111857,36.38167,-91.81824,Fulton County,AR
US.AR.051,US,51,A,ADM2,4112045,34.57669,-93.15043,Garland County,AR
US.AR.053,US,53,A,ADM2,4112780,34.29002,-92.42358,Grant County,AR
US.AR.055,US,55,A,ADM2,4113088,36.11769,-90.55908000000001,Greene County,AR
US.AR.003,US,3,P,PPLA2,4113607,33.22818,-91.79763,Hamburg,AR
US.AR.013,US,13,P,PPLA2,4113647,33.537890000000004,-92.46988,Hampton,AR
US.AR.111,US,111,P,PPLA2,4113951,35.56425,-90.71678,Harrisburg,AR
US.AR.009,US,9,P,PPLA2,4113956,36.22979,-93.10768,Harrison,AR
US.AR.023,US,23,P,PPLA2,4114225,35.49147,-92.03126,Heber Springs,AR
US.AR.107,US,107,P,PPLA2,4114272,34.52955,-90.59177,Helena,AR
US.AR.057,US,57,A,ADM2,4114303,33.7353,-93.66844,Hempstead County,AR
US.AR.057,US,57,P,PPLA2,4115181,33.66706,-93.59156999999999,Hope,AR
US.AR.059,US,59,A,ADM2,4115406,34.31763,-92.94601,Hot Spring County,AR
US.AR.051,US,51,P,PPLA2,4115412,34.5037,-93.05518000000001,Hot Springs,AR
US.AR.061,US,61,A,ADM2,4115463,34.08874,-93.99349000000001,Howard County,AR
US.AR.087,US,87,P,PPLA2,4115658,36.08619,-93.7413,Huntsville,AR
US.AR.063,US,63,A,ADM2,4115832,35.74158,-91.56971999999999,Independence County,AR
US.AR.065,US,65,A,ADM2,4116178,36.09487,-91.91342,Izard County,AR
US.AR.067,US,67,A,ADM2,4116263,35.59923,-91.21457,Jackson County,AR
US.AR.101,US,101,P,PPLA2,4116400,36.00813,-93.18656999999999,Jasper,AR
US.AR.069,US,69,A,ADM2,4116433,34.26879,-91.93151,Jefferson County,AR
US.AR.071,US,71,A,ADM2,4116689,35.57005,-93.45991,Johnson County,AR
US.AR.073,US,73,A,ADM2,4117774,33.24098,-93.60704,Lafayette County,AR
US.AR.017,US,17,P,PPLA2,4118121,33.32873,-91.28178,Lake Village,AR
US.AR.075,US,75,A,ADM2,4118467,36.04125,-91.10708000000001,Lawrence County,AR
US.AR.077,US,77,A,ADM2,4118578,34.78062,-90.78206999999999,Lee County,AR
US.AR.073,US,73,P,PPLA2,4118755,33.35846,-93.57768,Lewisville,AR
US.AR.079,US,79,A,ADM2,4118984,33.95747,-91.73331999999999,Lincoln County,AR
US.AR.081,US,81,A,ADM2,4119374,33.700540000000004,-94.23434,Little River County,AR
US.AR.083,US,83,A,ADM2,4119581,35.215270000000004,-93.71631,Logan County,AR
US.AR.085,US,85,P,PPLA2,4119817,34.78398,-91.89986,Lonoke,AR
US.AR.085,US,85,A,ADM2,4119825,34.75427,-91.88866999999999,Lonoke County,AR
US.AR.087,US,87,A,ADM2,4120275,36.01096,-93.72456,Madison County,AR
US.AR.027,US,27,P,PPLA2,4120323,33.267070000000004,-93.23933000000001,Magnolia,AR
US.AR.059,US,59,P,PPLA2,4120388,34.36231,-92.81295,Malvern,AR
US.AR.077,US,77,P,PPLA2,4120508,34.773709999999994,-90.75761,Marianna,AR
US.AR.035,US,35,P,PPLA2,4120524,35.214529999999996,-90.19648000000001,Marion,AR
US.AR.089,US,89,A,ADM2,4120525,36.26835,-92.68422,Marion County,AR
US.AR.129,US,129,P,PPLA2,4120611,35.90896,-92.63127,Marshall,AR
US.AR.065,US,65,P,PPLA2,4121256,36.059509999999996,-91.90848000000001,Melbourne,AR
