name,latitude,longitude,state,admin2_code,geonameid
Pierce County,31.35876,-82.21274,GA,229,4215697
Pike County,33.09227,-84.38923,GA,231,4215755
Polk County,34.00178,-85.18815,GA,233,4216880
Pulaski County,32.2323,-83.47596,GA,235,4217563
Putnam County,33.32177,-83.37284,GA,237,4217625
Quitman County,31.86733,-85.01878,GA,239,4217715
Rabun County,34.88168,-83.40214,GA,241,4217747
Randolph County,31.76262,-84.75419,GA,243,4217909
Richmond County,33.35963,-82.07355,GA,245,4218744
Rockdale County,33.65424,-84.02661,GA,247,4219431
Schley County,32.26169,-84.31472,GA,249,4221659
Screven County,32.75059,-81.61193,GA,251,4221757
Seminole County,30.93878,-84.86887,GA,253,4221942
Spalding County,33.26087,-84.28416,GA,255,4223848
Stephens County,34.55394,-83.29343,GA,257,4224510
Stewart County,32.07846,-84.8352,GA,259,4224592
Sumter County,32.03997,-84.19704,GA,261,4225168
Talbot County,32.69949,-84.53301,GA,263,4225609
Taliaferro County,33.56609,-82.87876,GA,265,4225621
Tattnall County,32.04575,-82.05818,GA,267,4225814
Taylor County,32.55546,-84.25046,GA,269,4225854
Telfair County,31.9298,-82.93899,GA,271,4225944
Terrell County,31.77688,-84.43692,GA,273,4226051
Thomas County,30.86368,-83.91931,GA,275,4226286
Tift County,31.45744,-83.52659,GA,277,4226538
Toombs County,32.12172,-82.33129,GA,279,4226802
Towns County,34.91665,-83.73728,GA,281,4226924
Treutlen County,32.40388,-82.56728,GA,283,4227019
Troup County,33.03351,-85.02834,GA,285,4227166
Turner County,31.71638,-83.62409,GA,287,4227392
Twiggs County,32.6672,-83.42708,GA,289,4227499
Union County,34.83401,-83.99076,GA,291,4227781
Upson County,32.88127,-84.29934,GA,293,4228098
Walker County,34.73566,-85.30098,GA,295,4229163
Walton County,33.78156,-83.73385,GA,297,4229371
Ware County,31.05363,-82.42368,GA,299,4229446
Warren County,33.40896,-82.67676,GA,301,4229498
Washington County,32.96954,-82.7959,GA,303,4229557
Wayne County,31.55143,-81.91676,GA,305,4229782
Webster County,32.04665,-84.55105,GA,307,4229882
Wheeler County,32.11707,-82.72459,GA,309,4230492
White County,34.64636,-83.74711,GA,311,4230595
Whitfield County,34.80561,-84.96722,GA,313,4230822
Wilcox County,31.9729,-83.43236,GA,315,4230919
Wilkes County,33.78195,-82.74323,GA,317,4231029
Wilkinson County,32.80241,-83.17125,GA,319,4231046
Worth County,31.55151,-83.85088,GA,321,4231976
Adams County,39.98789,-91.18849,IL,001,4232512
Alexander County,37.1916,-89.33764,IL,003,4232592
Bond County,38.88682,-89.43555,IL,005,4234184
Brown County,39.96181,-90.75034,IL,009,4234528
Calhoun County,39.1693,-90.66753,IL,013,4235018
Cass County,39.97356,-90.24738,IL,017,4235369
Christian County,39.54579,-89.27727,IL,021,4235793
Clark County,39.33357,-87.78772,IL,023,4235954
Clay County,38.75416,-88.49019,IL,025,4235992
Clinton County,38.60645,-89.42248,IL,027,4236063
Coles County,39.52029,-88.2218,IL,029,4236157
Crawford County,39.00269,-87.75956,IL,033,4236576
